year,quarter,Asset management companies,Commercial banks,Credit card / leasing / personal loan cos.,Insurance companies,Other deposit-taking institutions,Others,Pawnshops,Savings cooperatives,Securities companies,Specialized state banks
2015,1,0.4715855407025711,33.63441375884833,8.51578333400624,0.695101457140684,0.02258311729893308,0.16949326357636538,0.49846949055942963,12.24843395168779,0.465741203777167,23.07839488240248
2015,2,0.4737067579898605,33.96545913822385,8.381625695434764,0.7164014785654071,0.02457828183538343,0.18312047765272504,0.49528623644054526,12.33900439531173,0.465967910545477,23.254849628000258
2015,3,0.4743334159763044,34.07270986669052,8.166524737144004,0.7375787431031017,0.025253998770624675,0.20059626720281906,0.4836324831621059,12.37853096067319,0.43434669080917243,23.32649283646814
2015,4,0.49256085698686536,34.47931822603217,8.274386158683143,0.7614117440335365,0.024561434335954414,0.20566379456413283,0.4988067700456232,12.60871495898939,0.4206964587164024,23.43387959761279
2016,1,0.4826157365519378,34.184958986516165,7.970942850145507,0.7676065735185388,0.024748050075410366,0.2086472007955646,0.5034524155520944,12.572332989224616,0.4195376879431129,23.365157509677054
2016,2,0.46917461060833904,33.93177364651626,7.812728595014183,0.7760506867105911,0.0247343730911252,0.2177827934572806,0.5137884841323601,12.53802003112674,0.41695995977391226,23.298986819569205
2016,3,0.46138935238648193,33.75505765719115,7.644935714386543,0.7875187772419608,0.024842379887683314,0.22420875181459637,0.5185324024199353,12.503963024976967,0.3973526116378437,23.18219932805684
2016,4,0.4931350905579299,33.70920546609863,7.511863877407208,0.7940677893675117,0.024682458282008556,0.1782126951769571,0.521998692842167,12.673630089181454,0.4142485556044069,23.078955285481737
2017,1,0.4840328344331581,33.1256974393685,7.282186563732161,0.7967588979911681,0.024479139403880967,0.17831333446760897,0.5025102013661151,12.558560536987805,0.43895210525548756,22.808515690558693
2017,2,0.487778476901548,33.01714864749468,7.231690645111353,0.8061565954235705,0.02388518417874835,0.18443597194953215,0.5071423228987045,12.549223828725257,0.4107492573365185,22.681789069980084
2017,3,0.48440537549684515,33.000525548051115,7.210036007430756,0.8190521628203603,0.04970515104403161,0.18843200447944014,0.5072826076779243,12.468964364815578,0.44869169290090904,22.62291164788551
2017,4,0.5059106489851681,33.13022907230307,7.3062816950314176,0.8333617844387905,0.07261131154142271,0.1896116196859834,0.5100023360811828,12.485783173489022,0.47194448307613707,22.594263875367794
2018,1,0.5208414940009565,32.92739442471822,7.164949280224608,0.8375257074350042,0.0857454209412663,0.19073149527802885,0.5019320269598349,12.483031486310653,0.47486391145806095,22.512984752673372
2018,2,0.5080397267552306,32.94075437488426,7.227733155310717,0.8418881368844047,0.09895681280210133,0.1932130359784141,0.5096253923223298,12.36977708894203,0.44215626256017765,22.367856013560345
2018,3,0.5001361467133048,33.01693230311084,7.315231696459451,0.852149769672658,0.11051058364575458,0.19574040254926828,0.5075818513976634,12.32048917185757,0.4394078908990178,22.34182018369446
2018,4,0.5465487284124285,33.54997399292037,7.607505347761774,0.8592944267214189,0.12165897496796176,0.1975155580640693,0.49117030611186246,12.304600217051743,0.38862061458396585,22.33311183340441
2019,1,0.5564531714642428,33.575459281493494,7.620578308983656,0.8648127095270026,0.12234522671456802,0.27582078532538234,0.4795219609703541,12.217410056000826,0.4036908903609541,22.283907609159513
2019,2,0.5709772974562519,33.597292757919575,7.768227015349975,0.8691376878855319,0.12584866876252437,0.27663340795540464,0.49161564706689714,12.170767538466642,0.3916137365543861,22.13789223395005
2019,3,0.5843561534332787,33.809030473289006,7.92603913655895,0.8802838007296974,0.1266052467453117,0.2801562576412649,0.4906377033670772,12.134668958517855,0.40588729839890403,22.162334971318653
2019,4,0.5778687753463352,34.32278237567929,8.275677704373297,0.9656913029789049,0.12738263798418298,0.28128432131852577,0.49466875055555004,12.177501791660585,0.39289887828369474,22.284243461819635
2020,1,0.5600254265958904,34.33502054299161,8.32990977795731,1.0555455558238007,0.12740450562775668,0.28509271366240985,0.47480752821026884,12.33406243057485,0.288685594482242,22.50944592407386
2020,2,0.5763160380209333,35.78917593312997,8.60665755019379,1.1105344657370722,0.12857805917329992,0.3011498504770358,0.4861359898900201,12.865810392528793,0.32870846802104886,23.706933252828048
2020,3,0.5887283645088168,37.117053810757625,8.919485357565588,1.1256230908151688,0.11024802624353776,0.3109703423734585,0.5025677718850616,13.167022469184298,0.35289192292427995,24.505402546373908
2020,4,0.5969458651279328,38.422684225720566,9.386110707577599,1.1491327656935528,0.08761465123655894,0.31775799156737716,0.4939453198230788,13.428264184163346,0.43624662035733497,25.281297668732645
2021,1,0.5896179009322459,38.90776388389533,9.498985372261368,1.1710743333720235,0.06745742894916386,0.2365347801592716,0.4989613371344127,13.617101714732202,0.5612905362749233,25.651212712289055
2021,2,0.5665780626795199,38.501533905143894,9.411421821427139,1.1491537859110832,0.05099058328054254,0.23566918210340534,0.4865772176530926,13.372996942279581,0.615543069966997,25.109529158421644
2021,3,0.56232321029247,38.482152275474895,9.39963877088358,1.1377016133110314,0.042152836255378585,0.2415179406857466,0.49316631095933144,13.374223139434646,0.6637524960485552,25.203365157160473
2021,4,0.5569168470212071,38.637122685815946,9.693351318021927,1.1139818742657877,0.03956411964071235,0.2451518312194327,0.4774675505891399,13.304521884160936,0.6938230250663313,25.238105038374563
2022,1,0.5359454981671684,38.200621333995684,9.679753202337508,1.0824331487309382,0.031109088278885182,0.24629803506262746,0.4653702920247944,13.214344561416915,0.7107735832061861,25.033351256779294
2022,2,0.5263147508713629,37.73708694952308,9.731542881065232,1.0431099366152836,0.027727527321576382,0.24779571537764186,0.4704530816373395,13.07949978902009,0.6842307027875827,24.752232686154468
2022,3,0.5064168644853468,37.12543031678108,9.73510671620276,1.017153148047898,0.012934909020384381,0.2478937956618702,0.46640386749313795,12.886823379360045,0.7002653882069017,24.401571614740575
2022,4,0.5136183605325793,36.39881622603602,10.516438057208688,1.0302170538842006,0.012985735854397124,0.25345486746030227,0.46371792319753885,12.785167510629167,0.6876743999952385,24.337909865201873
2023,1,0.49961340189221454,35.9420251066625,10.501117655886546,1.01905683489131,0.012564889375084744,0.2564384859123873,0.4590274459315543,12.733725815815141,0.6615312010046877,24.214893482298827
2023,2,0.5281840182769394,35.81892860932808,10.756864783881564,1.0117878844401018,0.012332000085103729,0.2595358792487743,0.46217652262251585,12.761505547601375,0.5821358138024412,24.206560218262354
